,mean_before,std_before,mean_after,std_after
NDUFB4,10.998645833333333,0.5677070140509931,9.159339953157541e-16,1.0
NDUFB5,10.359114583333332,0.468154853971234,3.3491727909525557e-15,1.0
NDUFB6,9.422408854166667,0.5320625332323364,-7.401486830834377e-16,0.9999999999999999
NDUFB7,10.019921875,0.9172596760540949,3.793262000802618e-16,1.0
OGDH,11.235546874999999,0.44731470319335526,2.3407202102513716e-15,1.0
PDHA1,10.323580729166666,0.5480165170794634,6.094661812265182e-16,0.9999999999999998
PDHB,10.300026041666667,0.4741120836888954,-1.4687325429936966e-15,1.0
PDK1,8.462591145833334,0.9169322354495494,-1.2351231148954867e-15,1.0
PDK2,9.551028645833334,0.8097612500600505,-8.280413391995959e-16,1.0
PDK3,8.296458333333334,0.815845652461127,-4.6721885619642e-16,0.9999999999999999
PDK4,9.045455729166667,1.7343236550339787,-2.220446049250313e-16,1.0
PFKL,11.582565104166667,0.7166507705404959,-5.736152293896642e-16,1.0
PFKM,9.583736979166666,0.8109456347475,7.771561172376096e-16,1.0
PFKP,9.623255208333333,1.4267942851638522,1.491862189340054e-16,0.9999999999999998
PGAM1,11.596523437500002,0.47389096163333194,-3.989863994746656e-15,0.9999999999999998
PGAM2,4.804973958333334,1.2950938408807717,-4.810966440042345e-16,1.0
PGD,11.255716145833333,0.6374173833725774,1.177298999029593e-15,1.0
PGK1,12.969466145833335,0.6649467743154179,-3.0372116858560596e-15,1.0
PGK2,0.4559505208333334,0.8524488125347501,-6.47630097698008e-17,1.0
PKLR,0.8676302083333334,1.0405350938769564,-5.088522196198634e-17,0.9999999999999998
SDHA,11.119388020833332,0.503328183131582,2.248201624865942e-15,1.0
SDHB,10.272890625,0.44410668405466935,-1.1472304587793285e-15,1.0
SDHC,11.339518229166666,0.48373670705592914,1.2166193978184008e-15,1.0
SDHD,10.297552083333334,0.5014256050903697,-2.349972068789915e-15,0.9999999999999999
SLC16A1,9.1196875,1.331134797856772,3.677613769070831e-16,0.9999999999999999
SLC16A3,9.266927083333334,1.2839875083755659,-4.76470714734963e-16,0.9999999999999999
SUCLA2,9.4070703125,0.5291730630360232,-2.636779683484747e-16,1.0
TALDO1,11.629765625,0.6363761872084965,1.2119934685491292e-15,1.0
TKT,11.835572916666669,0.7667283888812154,-2.7373936450914016e-15,0.9999999999999999
TPI1,12.756979166666667,0.6927774077747945,-1.0685896612017132e-15,1.0
UQCRB,11.5809765625,0.6630060415893629,-1.0177044392397268e-16,1.0
UQCRC1,11.421979166666668,0.5684423600022583,-2.9282132274488504e-15,0.9999999999999999
UQCRC2,11.653229166666668,0.4560315636544351,-2.123301534595612e-15,1.0
