,glycolysis_score,oxphos_score,metabolic_ratio,metabolic_label
TCGA-A2-A0T6,-0.3196648600408147,-0.6672641264496919,0.3475992664088772,Glycolytic
TCGA-A2-A0T7,-0.13853563662908036,-0.5601306158717464,0.42159497924266603,Glycolytic
TCGA-A2-A0YC,-0.15635913782671312,-0.19375784613644276,0.037398708309729634,Mixed
TCGA-A2-A0YD,-0.3422277919693066,-0.7794041962216108,0.43717640425230425,Glycolytic
TCGA-A2-A0YE,0.19564075611169338,-0.5419504707376614,0.7375912268493549,Glycolytic
TCGA-A2-A0YF,-0.6369662790677065,-0.3264390843098817,-0.3105271947578248,Oxidative
TCGA-A2-A0YG,-0.5233706837486706,0.12014838611934325,-0.6435190698680138,Oxidative
TCGA-A2-A0YH,0.3510722652270366,0.17294338964767642,0.1781288755793602,Mixed
TCGA-A2-A0YI,-0.343234366434152,-0.45452275759761535,0.11128839116346334,Mixed
TCGA-A2-A0YJ,0.4184886273524103,-0.6918911429296215,1.110379770282032,Glycolytic
TCGA-A2-A0YK,-0.3318450862802883,-0.581441066360071,0.24959598007978268,Glycolytic
TCGA-A2-A0YL,-0.4150416088153691,-0.5412625430091584,0.12622093419378932,Mixed
TCGA-A2-A0YM,0.45450757928910374,-0.9146526392182889,1.3691602185073926,Glycolytic
TCGA-A2-A0YT,0.23333920441516545,0.267285609675307,-0.03394640526014156,Mixed
TCGA-A2-A1FV,-0.8615898089531937,-0.32395509673637307,-0.5376347122168206,Oxidative
TCGA-A2-A1FW,-0.025700710539227484,-0.4553028933027446,0.42960218276351714,Glycolytic
TCGA-A2-A1FX,-0.1995453724026206,-0.24359292271198987,0.04404755030936927,Mixed
TCGA-A2-A1FZ,-0.42979041687808556,-0.44281691223002223,0.013026495351936673,Mixed
TCGA-A2-A1G0,-0.4149846108873632,-0.6088652069820052,0.19388059609464198,Mixed
TCGA-A2-A1G1,0.6061941238594164,-0.3660147655037241,0.9722088893631404,Glycolytic
TCGA-A2-A1G4,-0.2873544722316247,-0.5418551528321572,0.25450068060053255,Glycolytic
TCGA-A2-A1G6,-0.5871093160970036,-0.4820863296171671,-0.10502298647983649,Mixed
TCGA-A2-A259,-0.1981237711133599,-0.342158617922958,0.14403484680959808,Mixed
TCGA-A2-A25A,-0.4715101115319959,-0.4961308498679934,0.024620738335997483,Mixed
TCGA-A2-A25B,-0.3616799139610311,0.16285387602080542,-0.5245337899818365,Oxidative
TCGA-A2-A25C,-0.515640149744342,-0.5096403385939645,-0.00599981115037751,Mixed
TCGA-A2-A25D,0.011395941285417363,0.814667669197655,-0.8032717279122377,Oxidative
TCGA-A2-A25E,-0.25628998530391345,-0.18471196695998687,-0.07157801834392657,Mixed
TCGA-A2-A25F,0.19231575679464555,-0.39081141344070863,0.5831271702353542,Glycolytic
TCGA-A2-A3KC,-0.4217783411276879,-0.7532914861397794,0.33151314501209145,Glycolytic
TCGA-A2-A3KD,-0.2075304701366004,-0.7120625545408007,0.5045320844042003,Glycolytic
TCGA-A2-A3XS,-0.10342535797901287,0.24801577054350002,-0.35144112852251286,Oxidative
TCGA-A2-A3XT,0.473066425380163,0.7439860067935524,-0.2709195814133894,Oxidative
TCGA-A2-A3XU,0.9834454590909997,1.1663933985604156,-0.1829479394694159,Oxidative
TCGA-A2-A3XV,0.09146460420847628,1.90907042793905,-1.8176058237305737,Oxidative
TCGA-A2-A3XW,0.24729093770838398,0.4338097417115588,-0.1865188040031748,Oxidative
TCGA-A2-A3XX,0.7344093628033354,0.1865265231732539,0.5478828396300814,Glycolytic
TCGA-A2-A3XY,0.3617342752335021,0.22715729324632034,0.13457698198718177,Mixed
TCGA-A2-A3XZ,0.4650961556714085,0.13523603214719968,0.3298601235242088,Glycolytic
TCGA-A2-A3Y0,0.8927747148387655,0.5460145584842397,0.34676015635452573,Glycolytic
TCGA-A2-A4RW,-0.4182736482168371,-0.7140380429200485,0.29576439470321136,Glycolytic
TCGA-A2-A4RX,0.5612773792280491,-0.6209100683563241,1.1821874475843732,Glycolytic
TCGA-A2-A4RY,-0.34109847978542573,-1.1001763445422177,0.759077864756792,Glycolytic
TCGA-A2-A4S0,0.011134280855102084,-0.579969680230748,0.5911039610858501,Glycolytic
TCGA-A2-A4S1,0.14112697748733008,0.1462059676987054,-0.005078990211375312,Mixed
TCGA-A2-A4S2,-0.11841932647276476,-0.4632313381100556,0.34481201163729086,Glycolytic
TCGA-A2-A4S3,0.31176086064212577,0.3913208400842114,-0.07955997944208565,Mixed
TCGA-A7-A0D9,-0.2044740267851343,0.1963227978013117,-0.400796824586446,Oxidative
TCGA-A7-A13D,1.1652590023768772,0.09727320253677307,1.067985799840104,Glycolytic
TCGA-A7-A13E,0.534567972475883,-0.23231086138178292,0.7668788338576659,Glycolytic
TCGA-A7-A13F,-0.18721469705932187,0.3713588597754246,-0.5585735568347465,Oxidative
TCGA-A7-A13G,-0.4081032310749885,-0.19666763692082861,-0.2114355941541599,Oxidative
TCGA-A7-A13H,-0.15156813922568582,-0.7460937251644622,0.5945255859387764,Glycolytic
TCGA-A7-A26E,-0.4872550639803907,-0.4621347604865511,-0.02512030349383959,Mixed
TCGA-A7-A26F,-0.0014906874024763924,-1.023551128089037,1.0220604406865605,Glycolytic
TCGA-A7-A26G,-0.04381558994688649,-0.9373791586106708,0.8935635686637843,Glycolytic
TCGA-A7-A26H,-0.2360712744622095,-0.38457883673706245,0.14850756227485296,Mixed
TCGA-A7-A26I,0.3546787775447539,-0.23982846774902694,0.5945072452937809,Glycolytic
TCGA-A7-A26J,-0.3810216866138563,-0.6916023889776849,0.31058070236382856,Glycolytic
TCGA-A7-A2KD,-0.47974076825446815,-0.5497999421250859,0.07005917387061772,Mixed
TCGA-A7-A3IY,0.27717157723179614,0.26795685744437353,0.00921471978742261,Mixed
TCGA-A7-A3IZ,-0.555413619653747,-0.7035226449441797,0.14810902529043268,Mixed
TCGA-A7-A3J0,-0.0048926235543060356,-0.1434288881223264,0.13853626456802037,Mixed
TCGA-A7-A3J1,-0.22269705362343317,-0.6191424482597921,0.39644539463635897,Glycolytic
TCGA-A7-A3RF,1.0980663232789156,0.3966159569122316,0.701450366366684,Glycolytic
TCGA-A7-A425,-0.056104576590926714,0.21984555993885846,-0.2759501365297852,Oxidative
TCGA-A7-A426,-0.2472842273249404,-0.4124850900530392,0.16520086272809878,Mixed
TCGA-A7-A4SA,-0.0010685725214263822,-0.2756215389686376,0.2745529664472112,Glycolytic
TCGA-A7-A4SB,-0.5560885395528734,-0.5582054439629051,0.0021169044100316503,Mixed
TCGA-A7-A4SC,-0.42206983820548466,-0.675078174589962,0.25300833638447734,Glycolytic
TCGA-A7-A4SD,0.6727506751382624,-0.25295310080453853,0.9257037759428008,Glycolytic
TCGA-A7-A4SE,0.389501714854051,-0.846574117598009,1.23607583245206,Glycolytic
TCGA-A7-A4SF,0.14976510594905873,-0.1095733897372485,0.25933849568630724,Glycolytic
TCGA-A7-A56D,1.308352953972263,1.480776894702441,-0.17242394073017797,Oxidative
TCGA-A7-A5ZV,0.2519572012323743,0.24813156355102484,0.0038256376813494697,Mixed
TCGA-A7-A5ZW,-0.34538843035860317,-0.17042140154036187,-0.1749670288182413,Oxidative
TCGA-A7-A5ZX,-0.386483478852964,-0.39031715862813865,0.0038336797751746254,Mixed
TCGA-A7-A6VV,0.6254594789412151,0.09606653492805615,0.529392944013159,Glycolytic
TCGA-A7-A6VW,0.5382955960330151,1.1623953605643302,-0.6240997645313151,Oxidative
TCGA-A7-A6VX,0.1553964428160769,-0.0034569430273025947,0.1588533858433795,Mixed
TCGA-A7-A6VY,0.735154239277886,-0.16357573220500984,0.8987299714828959,Glycolytic
TCGA-A8-A075,0.5534482554397294,-0.12169802110262933,0.6751462765423587,Glycolytic
TCGA-A8-A08O,-0.203961814525336,-0.5846549714611461,0.3806931569358101,Glycolytic
TCGA-A8-A0A6,-0.18912167927126622,-0.0970263076258521,-0.09209537164541412,Mixed
TCGA-A8-A0AD,-0.29817841253291383,-0.22824411122351992,-0.0699343013093939,Mixed
